Parameter,Value
Data View Fixed text,"['Residual Voltage', 'Min Max', 'RMS Fund.']"
OCR Errors (Extra),[] (PASS)
OCR Errors (Missing),[] (PASS)
Meas Ratio Results,[]
Timestamp Results,[] / Timestamp Standard: None
Measurement Results,"[""'6.549 V' -> PASS"", ""'1.344 V' -> PASS""]"
Modbus Measurement,"['6.471', '1.268']"
