Parameter,Value
Data View Fixed text,"['Total Harmonic Distortion L-L L-N Max', 'AB BC CA']"
OCR Errors (Extra),[] (PASS)
OCR Errors (Missing),[] (PASS)
Meas Ratio Results,[]
Timestamp Results,"['2025-09-26 14:37:36 -> PASS', '2025-09-26 14:37:36 -> PASS', '2025-09-26 14:37:37 -> PASS'] / Timestamp Standard: 2025-09-26 14:37:32+00:00"
Measurement Results,"[""'2.9 %' -> PASS"", ""'2.9 %' -> PASS"", ""'2.8 %' -> PASS""]"
Modbus Measurement,"['2.819', '2.880', '2.779']"
