Parameter,Value
Data View Fixed text,"['RMS Voltage L-L L-N Min Max', 'AB BC CA Average']"
OCR Errors (Extra),[] (PASS)
OCR Errors (Missing),[] (PASS)
Meas Ratio Results,[]
Timestamp Results,"['2025-09-26 14:33:32 -> PASS', '2025-09-26 14:33:34 -> PASS', '2025-09-26 14:33:33 -> PASS', '2025-09-26 14:33:32 -> PASS'] / Timestamp Standard: 2025-09-26 14:33:29+00:00"
Measurement Results,"[""'190.1 V' -> PASS"", ""'190.0 V' -> PASS"", ""'190.4 V' -> PASS"", ""'190.1 V' -> PASS""]"
Modbus Measurement,"['190.2', '190.0', '190.4', '190.1']"
