Parameter,Value
Data View Fixed text,"['RMS Voltage L-L L-N Min Max', 'AB BC CA Average']"
OCR Errors (Extra),[] (PASS)
OCR Errors (Missing),[] (PASS)
Meas Ratio Results,[]
Timestamp Results,"['2025-09-24 16:30:27 -> PASS', '2025-09-24 16:30:29 -> PASS', '2025-09-24 16:30:29 -> PASS', '2025-09-24 16:30:29 -> PASS'] / Timestamp Standard: 2025-09-24 16:30:21+00:00"
Measurement Results,"['190.2 V -> PASS', '190.0 V -> PASS', '190.2 V -> PASS', '190.1 V -> PASS']"
Modbus Measurement,"['190.3', '190.1', '190.3', '190.1']"
