Parameter,Value
Data View Fixed text,"['Total Harmonic Distortion L-L L-N Max', 'AB BC CA']"
OCR Errors (Extra),['AB BC CA'] (FAIL)
OCR Errors (Missing),['AB BC CA Average'] (FAIL)
Meas Ratio Results,[]
Timestamp Results,[] / Timestamp Standard: None
Measurement Results,"['2.7 % -> PASS', '2.8 % -> PASS', '2.7 % -> PASS']"
Modbus Measurement,"['2.750', '2.750', '2.688']"
