Parameter,Value
Data View Fixed text,"['RMS Voltage L-L L-N Min Max', 'AB BC CA Average']"
OCR Errors (Extra),[] (PASS)
OCR Errors (Missing),[] (PASS)
Meas Ratio Results,[]
Timestamp Results,"['2025-09-25 10:08:13 -> PASS', '2025-09-25 10:08:13 -> PASS', '2025-09-25 10:08:10 -> PASS', '2025-09-25 10:08:08 -> PASS'] / Timestamp Standard: 2025-09-25 10:08:06+00:00"
Measurement Results,"[""'189.8 V' -> PASS"", ""'189.6 V' -> PASS"", ""'189.7 V' -> PASS"", ""'189.7 V' -> PASS""]"
Modbus Measurement,"['189.6', '189.6', '189.8', '189.7']"
