Parameter,Value
Data View Fixed text,"['Total Harmonic Distortion L-L L-N Max', 'AB BC CA']"
OCR Errors (Extra),['AB BC CA'] (FAIL)
OCR Errors (Missing),['A B C'] (FAIL)
Meas Ratio Results,[]
Timestamp Results,[] / Timestamp Standard: None
Measurement Results,"[""'2.7 %' -> (FAIL)"", ""'2.7 %' -> (FAIL)"", ""'2.7 %' -> (FAIL)""]"
Modbus Measurement,"['3.318', '3.381', '3.317']"
