Parameter,Value
Data View Fixed text,"['Demand Active Power Peak', 'A B C Total']"
OCR Errors (Extra),[] (PASS)
OCR Errors (Missing),[] (PASS)
Meas Ratio Results,"['42.9 % -> PASS', '42.9 % -> PASS', '43.1 % -> PASS', '43.0 % -> PASS']"
Timestamp Results,[] / Timestamp Standard: 2025-09-26 15:21:33+00:00
Measurement Results,"[""'2.356 kW' -> PASS"", ""'2.353 kW' -> PASS"", ""'2.364 kW' -> PASS"", ""'7.072 kW' -> PASS""]"
Modbus Measurement,"['2.356', '2.356', '2.364', '7.072']"
