Parameter,Value
Data View Fixed text,"['Fund. Volt. L-L L-N Min Max', 'AB BC CA Average']"
OCR Errors (Extra),[] (PASS)
OCR Errors (Missing),[] (PASS)
Meas Ratio Results,[]
Timestamp Results,"['2025-09-26 15:04:44 -> PASS', '2025-09-26 15:04:44 -> PASS', '2025-09-26 15:04:43 -> PASS', '2025-09-26 15:04:44 -> PASS'] / Timestamp Standard: 2025-09-26 15:04:40+00:00"
Measurement Results,"[""'189.3 V' -> PASS"", ""'189.5 V' -> PASS"", ""'189.6 V' -> PASS"", ""'189.4 V' -> PASS""]"
Modbus Measurement,"['189.6', '189.5', '189.7', '189.6']"
