Parameter,Value
Data View Fixed text,"['Active Power Min Max', 'A B C Total']"
OCR Errors (Extra),[] (PASS)
OCR Errors (Missing),[] (PASS)
Meas Ratio Results,"['43.1 % -> PASS', '43.1 % -> PASS', '43.1 % -> PASS', '43.0 % -> PASS']"
Timestamp Results,"['2025-09-29 11:47:30 -> PASS', '2025-09-29 11:47:30 -> PASS', '2025-09-29 11:47:33 -> PASS', '2025-09-29 11:47:30 -> PASS'] / Timestamp Standard: 2025-09-29 11:47:27+00:00"
Measurement Results,"[""'2.366 kW' -> PASS"", ""'2.362 kW' -> PASS"", ""'2.367 kW' -> PASS"", ""'7.083 kW' -> PASS""]"
Modbus Measurement,"['Modbus: 2.366, OCR: 2.366 -> PASS (Diff: 0.000)', 'Modbus: 2.362, OCR: 2.362 -> PASS (Diff: 0.000)', 'Modbus: 2.371, OCR: 2.367 -> PASS (Diff: 0.004)', 'Modbus: 7.086, OCR: 7.083 -> PASS (Diff: 0.003)']"
