Parameter,Value
Data View Fixed text,"['RMS Voltage L-L L-N Min Max', 'AB BC CA Average']"
OCR Errors (Extra),[] (PASS)
OCR Errors (Missing),[] (PASS)
Meas Ratio Results,[]
Timestamp Results,"['2025-09-24 13:13:25 -> PASS', '2025-09-24 13:13:24 -> PASS', '2025-09-24 13:13:24 -> PASS', '2025-09-24 13:13:22 -> PASS'] / Timestamp Standard: 2025-09-24 13:13:19+00:00"
Measurement Results,"['190.3 V -> PASS', '190.0 V -> PASS', '190.3 V -> PASS', '190.0 V -> PASS']"
Modbus Measurement,"['190.3', '190.3', '190.3', '190.1']"
