Parameter,Value
Data View Fixed text,"['RMS Voltage L-L L-N Min Max', 'AB BC CA Average']"
OCR Errors (Extra),[] (PASS)
OCR Errors (Missing),[] (PASS)
Meas Ratio Results,[]
Timestamp Results,"['2025-09-25 16:28:20 -> PASS', '2025-09-25 16:28:22 -> PASS', '2025-09-25 16:28:22 -> PASS', '2025-09-25 16:28:22 -> PASS'] / Timestamp Standard: 2025-09-25 16:28:16+00:00"
Measurement Results,"[""'189.5 V' -> PASS"", ""'189.6 V' -> PASS"", ""'189.5 V' -> PASS"", ""'189.6 V' -> PASS""]"
Modbus Measurement,"['189.5', '189.4', '189.5', '189.6']"
