Parameter,Value
Data View Fixed text,"['Fund. Volt. L-L L-N Min Max', 'A B C Average']"
OCR Errors (Extra),[] (PASS)
OCR Errors (Missing),[] (PASS)
Meas Ratio Results,[]
Timestamp Results,"['2025-09-25 16:00:15 -> PASS', '2025-09-25 16:00:11 -> PASS', '2025-09-25 16:00:12 -> PASS', '2025-09-25 16:00:13 -> PASS'] / Timestamp Standard: 2025-09-25 16:00:09+00:00"
Measurement Results,"[""'109.6 V' -> PASS"", ""'109.1 V' -> PASS"", ""'109.4 V' -> PASS"", ""'109.5 V' -> PASS""]"
Modbus Measurement,"['109.5', '109.3', '109.3', '109.4']"
