Parameter,Value
Data View Fixed text,"['RMS Voltage L-L L-N Min Max', 'AB BC CA Average']"
OCR Errors (Extra),[] (PASS)
OCR Errors (Missing),[] (PASS)
Meas Ratio Results,[]
Timestamp Results,"['2025-09-25 15:57:11 -> PASS', '2025-09-25 15:57:10 -> PASS', '2025-09-25 15:57:11 -> PASS', '2025-09-25 15:57:11 -> PASS'] / Timestamp Standard: 2025-09-25 15:57:05+00:00"
Measurement Results,"[""'190.3 V' -> PASS"", ""'190.1 V' -> PASS"", ""'190.3 V' -> PASS"", ""'190.1 V' -> PASS""]"
Modbus Measurement,"['190.3', '190.1', '190.3', '190.1']"
