Parameter,Value
Data View Fixed text,"['RMS Voltage L-L L-N Min Max', 'AB BC CA Average']"
OCR Errors (Extra),[] (PASS)
OCR Errors (Missing),[] (PASS)
Meas Ratio Results,[]
Timestamp Results,"['2025-09-24 13:05:03 -> PASS', '2025-09-24 13:05:12 -> PASS', '2025-09-24 13:05:09 -> PASS', '2025-09-24 13:04:57 -> PASS'] / Timestamp Standard: 2025-09-24 13:04:53+00:00"
Measurement Results,"['190.2 V -> PASS', '190.1 V -> PASS', '190.3 V -> PASS', '190.1 V -> PASS']"
Modbus Measurement,"['190.3', '190.2', '190.4', '190.2']"
